id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
bdc4758f-3fa5-4947-bd92-419b42daebaf,Bento Jesus,1945-10-15,851.788.065-67,18184125,Ferreira,RR,Brasil,M,0900 395 3043,85178806567@exemplo.com.br,2025-04-30
4f8fafa8-979a-47a8-a1c0-e975668fee92,Sofia Macedo,1990-07-21,065.661.099-41,34831796,Costa de Machado,PB,Brasil,M,+55 (061) 4941-8670,06566109941@exemplo.com.br,2024-11-16
9ae1a58b-ff93-457c-b332-bdfd122e28b0,Sr. Lorenzo Rocha,1951-03-16,507.718.016-99,79642-962,Melo de Santos,AM,Brasil,F,71 0920 4045,50771801699@exemplo.com.br,2024-02-04
05603b5c-7bb7-4a52-8ee4-0608f2404e2e,Mariane Vasconcelos,1970-04-27,261.425.794-19,59636488,Guerra Paulista,RN,Brasil,M,81 6628-2452,26142579419@exemplo.com.br,2024-10-05
7706beee-b3be-453b-b55f-e0d2780ec798,Maysa da Rocha,1955-12-04,889.836.838-10,96836193,Sá,CE,Brasil,M,(021) 0298-5526,88983683810@exemplo.com.br,2024-07-20
5e4b3bc4-e7b8-47ed-983c-dbb317fcd2d5,Daniela Rodrigues,1954-02-16,800.203.870-85,16446-824,Azevedo de Andrade,MA,Brasil,M,61 5623 3860,80020387085@exemplo.com.br,2024-05-21
ad4d4594-b945-4522-9ef3-58e9ffda3d35,Isaac Moreira,1981-09-03,658.287.974-66,10389550,Alves,PI,Brasil,M,+55 (051) 8467-3729,65828797466@exemplo.com.br,2024-09-02
65a21c6e-9d34-4439-88dc-cba8e349aa2b,Maria Luiza Fernandes,1945-04-18,041.546.155-29,90699-421,Câmara Verde,PI,Brasil,M,+55 (011) 1338 4025,04154615529@exemplo.com.br,2024-10-26
31809a0e-eb80-4d59-9f1a-80287880bf2e,Yuri Andrade,1982-07-08,777.387.278-18,74661181,Silveira,MG,Brasil,F,(081) 3453 0507,77738727818@exemplo.com.br,2023-12-13
55fc21e9-abe2-4c1d-814a-7f7dac533977,Rafael Cirino,1938-10-06,199.298.382-38,39060559,Azevedo de da Conceição,RJ,Brasil,M,+55 51 1638 6229,19929838238@exemplo.com.br,2025-06-21
98f80fd0-ee7d-48d0-85f6-5436c94f3c98,Gabriela Borges,1989-02-12,962.092.150-13,09962946,da Paz de Carvalho,MG,Brasil,M,31 7299 7846,96209215013@exemplo.com.br,2023-10-02
e9513e84-0f26-479c-b43a-4cf2aa79c4f2,Ana Lívia Cardoso,1943-07-26,876.181.766-34,23680-396,das Neves,PI,Brasil,M,(051) 2792-6852,87618176634@exemplo.com.br,2024-05-28
64f18b71-2147-4f67-9dff-8514f2335a7d,Bruna Fogaça,1977-11-21,432.019.121-55,02881096,Farias,AM,Brasil,M,51 7888 8739,43201912155@exemplo.com.br,2024-03-17
db5fbe3a-692f-4bad-ba89-603db703eaf8,Eduardo Nogueira,2002-11-23,277.191.033-74,23144-196,Cunha de da Mata,MS,Brasil,M,71 8443 6708,27719103374@exemplo.com.br,2023-07-19
da510411-f61d-41e0-966b-cb71d7c3ba6c,Srta. Fernanda Cavalcanti,1970-03-06,069.609.803-24,95855-767,Farias,RN,Brasil,M,+55 21 7478 0109,06960980324@exemplo.com.br,2023-11-23
4f96a79c-02b9-4fe2-b5aa-b71653c8ef20,Catarina Garcia,1963-03-24,360.395.592-49,77204-146,Moura,ES,Brasil,M,+55 (031) 9033-3770,36039559249@exemplo.com.br,2023-07-05
6cbeab4d-eb2f-4d01-9fc0-82791d2ea0e3,José da Mata,1968-12-27,624.788.746-63,70459980,Barros,RN,Brasil,F,61 3854-8763,62478874663@exemplo.com.br,2024-11-05
